ANNO,MESE,TIPO_SOGGETTO,TIPOLOGIA,TOTALE
2022,2,AIRE,ESPATRI,8610
2022,2,AIRE,ESTERO CON ESTERO,22486
2022,2,AIRE,RIENTRI AIRE,1401
2022,2,Residenti,DIVERSA REGIONE,34834
2022,2,Residenti,ESPATRI,635
2022,2,Residenti,RIENTRI AIRE,6936
2022,2,Residenti,STESSA REGIONE,110902
2022,2,Residenti,STESSO COMUNE,168670
2022,3,AIRE,ESPATRI,9664
2022,3,AIRE,ESTERO CON ESTERO,26888
2022,3,AIRE,RIENTRI AIRE,1739
2022,3,Residenti,DIVERSA REGIONE,38191
2022,3,Residenti,ESPATRI,711
2022,3,Residenti,RIENTRI AIRE,7625
2022,3,Residenti,STESSA REGIONE,121166
2022,3,Residenti,STESSO COMUNE,185730
2022,4,AIRE,ESPATRI,7668
2022,4,AIRE,ESTERO CON ESTERO,22369
2022,4,AIRE,RIENTRI AIRE,1596
2022,4,Residenti,DIVERSA REGIONE,30405
2022,4,Residenti,ESPATRI,538
2022,4,Residenti,RIENTRI AIRE,6338
2022,4,Residenti,STESSA REGIONE,110419
2022,4,Residenti,STESSO COMUNE,147216
2022,5,AIRE,ESPATRI,7292
2022,5,AIRE,ESTERO CON ESTERO,25253
2022,5,AIRE,RIENTRI AIRE,1833
2022,5,Residenti,DIVERSA REGIONE,35862
2022,5,Residenti,ESPATRI,594
2022,5,Residenti,RIENTRI AIRE,7793
2022,5,Residenti,STESSA REGIONE,119470
2022,5,Residenti,STESSO COMUNE,178316
2022,6,AIRE,ESPATRI,6781
2022,6,AIRE,ESTERO CON ESTERO,21533
2022,6,AIRE,RIENTRI AIRE,1849
2022,6,Residenti,DIVERSA REGIONE,34749
2022,6,Residenti,ESPATRI,466
2022,6,Residenti,RIENTRI AIRE,7416
2022,6,Residenti,STESSA REGIONE,115084
2022,6,Residenti,STESSO COMUNE,158471
2022,7,AIRE,ESPATRI,7657
2022,7,AIRE,ESTERO CON ESTERO,22597
2022,7,AIRE,RIENTRI AIRE,2034
2022,7,Residenti,DIVERSA REGIONE,36951
2022,7,Residenti,ESPATRI,508
2022,7,Residenti,RIENTRI AIRE,7897
2022,7,Residenti,STESSA REGIONE,115606
2022,7,Residenti,STESSO COMUNE,151988
2022,8,AIRE,ESPATRI,7908
2022,8,AIRE,ESTERO CON ESTERO,38805
2022,8,AIRE,RIENTRI AIRE,2269
2022,8,Residenti,DIVERSA REGIONE,39260
2022,8,Residenti,ESPATRI,524
2022,8,Residenti,RIENTRI AIRE,8004
2022,8,Residenti,STESSA REGIONE,112737
2022,8,Residenti,STESSO COMUNE,143694
2022,9,AIRE,ESPATRI,6918
2022,9,AIRE,ESTERO CON ESTERO,25800
2022,9,AIRE,RIENTRI AIRE,2040
2022,9,Residenti,DIVERSA REGIONE,45811
2022,9,Residenti,ESPATRI,497
2022,9,Residenti,RIENTRI AIRE,8810
2022,9,Residenti,STESSA REGIONE,115085
2022,9,Residenti,STESSO COMUNE,155846
2022,10,AIRE,ESPATRI,7940
2022,10,AIRE,ESTERO CON ESTERO,27860
2022,10,AIRE,RIENTRI AIRE,1793
2022,10,Residenti,DIVERSA REGIONE,43509
2022,10,Residenti,ESPATRI,667
2022,10,Residenti,RIENTRI AIRE,8475
2022,10,Residenti,STESSA REGIONE,123453
2022,10,Residenti,STESSO COMUNE,168853
2022,11,AIRE,ESPATRI,9393
2022,11,AIRE,ESTERO CON ESTERO,27970
2022,11,AIRE,RIENTRI AIRE,1605
2022,11,Residenti,DIVERSA REGIONE,40200
2022,11,Residenti,ESPATRI,721
2022,11,Residenti,RIENTRI AIRE,7899
2022,11,Residenti,STESSA REGIONE,119979
2022,11,Residenti,STESSO COMUNE,175960
2022,12,AIRE,ESPATRI,8567
2022,12,AIRE,ESTERO CON ESTERO,23478
2022,12,AIRE,RIENTRI AIRE,1532
2022,12,Residenti,DIVERSA REGIONE,33154
2022,12,Residenti,ESPATRI,548
2022,12,Residenti,RIENTRI AIRE,6121
2022,12,Residenti,STESSA REGIONE,108986
2022,12,Residenti,STESSO COMUNE,174795
2023,1,AIRE,ESPATRI,9497
2023,1,AIRE,ESTERO CON ESTERO,23839
2023,1,AIRE,RIENTRI AIRE,1889
2023,1,Residenti,DIVERSA REGIONE,42097
2023,1,Residenti,ESPATRI,724
2023,1,Residenti,RIENTRI AIRE,7462
2023,1,Residenti,STESSA REGIONE,131214
2023,1,Residenti,STESSO COMUNE,188097
2023,2,AIRE,ESPATRI,10172
2023,2,AIRE,ESTERO CON ESTERO,24483
2023,2,AIRE,RIENTRI AIRE,1510
2023,2,Residenti,DIVERSA REGIONE,36104
2023,2,Residenti,ESPATRI,788
2023,2,Residenti,RIENTRI AIRE,6887
2023,2,Residenti,STESSA REGIONE,110159
2023,2,Residenti,STESSO COMUNE,163042
2023,3,AIRE,ESPATRI,11878
2023,3,AIRE,ESTERO CON ESTERO,27951
2023,3,AIRE,RIENTRI AIRE,1712
2023,3,Residenti,DIVERSA REGIONE,39609
2023,3,Residenti,ESPATRI,808
2023,3,Residenti,RIENTRI AIRE,7858
