MESE,ANNO,REGIONE,COD ISTAT REGIONE,STATO ESTERO,CODICE ISO STATO,TIPO SOGGETTO,RETTIFICHE,CAMBI DI RESIDENZA,AUTOCERTIFICAZIONI,VISURE,CERTIFICATI,TOTALE
4,2021,ABRUZZO,13,FRANCIA,FRA,AIRE,0,0,2,3,0,5
4,2021,ABRUZZO,13,GERMANIA,DEU,AIRE,0,0,1,3,0,4
4,2021,ABRUZZO,13,PORTOGALLO,PRT,AIRE,0,0,4,10,0,14
4,2021,ABRUZZO,13,REGNO UNITO,GBR,AIRE,0,0,2,1,0,3
4,2021,ABRUZZO,13,,,Residenti,0,0,326,846,0,1172
4,2021,BASILICATA,17,,,Residenti,0,0,206,423,0,629
4,2021,CALABRIA,18,AUSTRIA,AUT,AIRE,0,0,1,2,0,3
4,2021,CALABRIA,18,BRASILE,BRA,AIRE,0,0,1,2,0,3
4,2021,CALABRIA,18,REGNO UNITO,GBR,AIRE,0,0,1,3,0,4
4,2021,CALABRIA,18,REPUBBLICA CECA,CZE,AIRE,0,0,0,1,0,1
4,2021,CALABRIA,18,SPAGNA,ESP,AIRE,0,0,0,1,0,1
4,2021,CALABRIA,18,SVEZIA,SWE,AIRE,0,0,0,2,0,2
4,2021,CALABRIA,18,,,Residenti,0,0,498,1136,0,1634
4,2021,CAMPANIA,15,DANIMARCA,DNK,AIRE,0,0,1,3,0,4
4,2021,CAMPANIA,15,FINLANDIA,FIN,AIRE,0,0,0,1,0,1
4,2021,CAMPANIA,15,GERMANIA,DEU,AIRE,0,0,1,2,0,3
4,2021,CAMPANIA,15,REGNO UNITO,GBR,AIRE,0,0,1,2,0,3
4,2021,CAMPANIA,15,STATI UNITI D'AMERICA,USA,AIRE,0,0,0,1,0,1
4,2021,CAMPANIA,15,SVEZIA,SWE,AIRE,0,0,0,5,0,5
4,2021,CAMPANIA,15,SVIZZERA,CHE,AIRE,0,0,3,3,0,6
4,2021,CAMPANIA,15,,,Residenti,0,0,1227,2911,0,4138
4,2021,EMILIA ROMAGNA,08,AUSTRIA,AUT,AIRE,0,0,0,4,0,4
4,2021,EMILIA ROMAGNA,08,PERU',PER,AIRE,0,0,1,2,0,3
4,2021,EMILIA ROMAGNA,08,POLONIA,POL,AIRE,0,0,1,1,0,2
4,2021,EMILIA ROMAGNA,08,PORTOGALLO,PRT,AIRE,0,0,0,1,0,1
4,2021,EMILIA ROMAGNA,08,REGNO UNITO,GBR,AIRE,0,0,0,5,0,5
4,2021,EMILIA ROMAGNA,08,SAN MARINO,SMR,AIRE,0,0,0,2,0,2
4,2021,EMILIA ROMAGNA,08,SPAGNA,ESP,AIRE,0,0,2,2,0,4
4,2021,EMILIA ROMAGNA,08,STATI UNITI D'AMERICA,USA,AIRE,0,0,2,3,0,5
4,2021,EMILIA ROMAGNA,08,SVIZZERA,CHE,AIRE,0,0,1,3,0,4
4,2021,EMILIA ROMAGNA,08,,,Residenti,0,0,985,2207,0,3192
4,2021,FRIULI VENEZIA GIULIA,06,REGNO UNITO,GBR,AIRE,0,0,0,6,0,6
4,2021,FRIULI VENEZIA GIULIA,06,,,Residenti,0,0,397,690,0,1087
4,2021,LAZIO,12,AUSTRIA,AUT,AIRE,0,0,2,4,0,6
4,2021,LAZIO,12,BELGIO,BEL,AIRE,0,0,2,8,0,10
4,2021,LAZIO,12,COLOMBIA,COL,AIRE,0,0,0,1,0,1
4,2021,LAZIO,12,FRANCIA,FRA,AIRE,0,0,2,8,0,10
4,2021,LAZIO,12,GERMANIA,DEU,AIRE,0,0,1,3,0,4
4,2021,LAZIO,12,ISRAELE,ISR,AIRE,0,0,2,1,0,3
4,2021,LAZIO,12,MAROCCO,MAR,AIRE,0,0,11,15,0,26
4,2021,LAZIO,12,NUOVA ZELANDA,NZL,AIRE,0,0,1,1,0,2
4,2021,LAZIO,12,PAESI BASSI,NLD,AIRE,0,0,3,5,0,8
4,2021,LAZIO,12,PORTOGALLO,PRT,AIRE,0,0,8,7,0,15
4,2021,LAZIO,12,REPUBBLICA CECA,CZE,AIRE,0,0,1,2,0,3
4,2021,LAZIO,12,REPUBBLICA POPOLARE CINESE,CHN,AIRE,0,0,0,1,0,1
4,2021,LAZIO,12,SPAGNA,ESP,AIRE,0,0,1,5,0,6
4,2021,LAZIO,12,SVEZIA,SWE,AIRE,0,0,0,1,0,1
4,2021,LAZIO,12,SVIZZERA,CHE,AIRE,0,0,1,2,0,3
4,2021,LAZIO,12,UNGHERIA,HUN,AIRE,0,0,1,2,0,3
4,2021,LAZIO,12,VENEZUELA,VEN,AIRE,0,0,4,8,0,12
4,2021,LAZIO,12,,,Residenti,0,0,1811,5237,0,7048
4,2021,LIGURIA,07,FRANCIA,FRA,AIRE,0,0,1,4,0,5
4,2021,LIGURIA,07,PORTOGALLO,PRT,AIRE,0,0,1,1,0,2
4,2021,LIGURIA,07,REGNO UNITO,GBR,AIRE,0,0,3,2,0,5
4,2021,LIGURIA,07,STATI UNITI D'AMERICA,USA,AIRE,0,0,0,2,0,2
4,2021,LIGURIA,07,,,Residenti,0,0,272,641,0,913
4,2021,LOMBARDIA,03,BELGIO,BEL,AIRE,0,0,0,1,0,1
4,2021,LOMBARDIA,03,BRASILE,BRA,AIRE,0,0,1,4,0,5
4,2021,LOMBARDIA,03,CANADA,CAN,AIRE,0,0,1,5,0,6
4,2021,LOMBARDIA,03,CILE,CHL,AIRE,0,0,0,2,0,2
4,2021,LOMBARDIA,03,EGITTO,EGY,AIRE,0,0,3,36,0,39
4,2021,LOMBARDIA,03,FRANCIA,FRA,AIRE,0,0,1,1,0,2
4,2021,LOMBARDIA,03,GERMANIA,DEU,AIRE,0,0,1,14,0,15
4,2021,LOMBARDIA,03,NEPAL,NPL,AIRE,0,0,1,1,0,2
4,2021,LOMBARDIA,03,NORVEGIA,NOR,AIRE,0,0,1,8,0,9
4,2021,LOMBARDIA,03,PAESI BASSI,NLD,AIRE,0,0,4,5,0,9
4,2021,LOMBARDIA,03,PORTOGALLO,PRT,AIRE,1,0,1,6,0,8
4,2021,LOMBARDIA,03,REGNO UNITO,GBR,AIRE,0,0,1,7,0,8
4,2021,LOMBARDIA,03,SPAGNA,ESP,AIRE,0,0,2,6,0,8
4,2021,LOMBARDIA,03,SUD AFRICA,ZAF,AIRE,0,0,0,3,0,3
4,2021,LOMBARDIA,03,SVIZZERA,CHE,AIRE,0,0,4,21,0,25
4,2021,LOMBARDIA,03,THAILANDIA,THA,AIRE,0,0,1,4,0,5
4,2021,LOMBARDIA,03,,,Residenti,12,0,1898,4593,0,6503
4,2021,MARCHE,11,KAZAKHSTAN,KAZ,AIRE,0,0,0,1,0,1
4,2021,MARCHE,11,PORTOGALLO,PRT,AIRE,0,0,0,1,0,1
4,2021,MARCHE,11,SLOVENIA,SVN,AIRE,0,0,1,2,0,3
4,2021,MARCHE,11,,,Residenti,0,0,302,658,0,960
4,2021,MOLISE,14,BRASILE,BRA,AIRE,0,0,2,6,0,8
4,2021,MOLISE,14,SVIZZERA,CHE,AIRE,0,0,1,2,0,3
4,2021,MOLISE,14,,,Residenti,0,0,73,139,0,212
4,2021,PIEMONTE,01,BELGIO,BEL,AIRE,0,0,0,6,0,6
4,2021,PIEMONTE,01,CIPRO,CYP,AIRE,0,0,0,1,0,1
4,2021,PIEMONTE,01,FRANCIA,FRA,AIRE,0,0,0,2,0,2
4,2021,PIEMONTE,01,REGNO UNITO,GBR,AIRE,0,0,0,4,0,4
4,2021,PIEMONTE,01,SVEZIA,SWE,AIRE,0,0,0,1,0,1
4,2021,PIEMONTE,01,SVIZZERA,CHE,AIRE,0,0,1,10,0,11
4,2021,PIEMONTE,01,URUGUAY,URY,AIRE,0,0,5,4,0,9
4,2021,PIEMONTE,01,,,Residenti,2,0,693,1792,0,2487
4,2021,PUGLIA,16,FRANCIA,FRA,AIRE,0,0,2,3,0,5
4,2021,PUGLIA,16,PORTOGALLO,PRT,AIRE,0,0,0,70,0,70
4,2021,PUGLIA,16,REPUBBLICA CECA,CZE,AIRE,0,0,2,1,0,3
4,2021,PUGLIA,16,SAN MARINO,SMR,AIRE,0,0,1,1,0,2
4,2021,PUGLIA,16,SPAGNA,ESP,AIRE,0,0,1,3,0,4
4,2021,PUGLIA,16,TUNISIA,TUN,AIRE,0,0,1,2,0,3
4,2021,PUGLIA,16,,,Residenti,2,0,853,2129,0,2984
4,2021,SARDEGNA,20,PORTOGALLO,PRT,AIRE,0,0,1,3,0,4
4,2021,SARDEGNA,20,SPAGNA,ESP,AIRE,0,0,0,2,0,2
4,2021,SARDEGNA,20,,,Residenti,0,0,431,1050,0,1481
4,2021,SICILIA,19,AUSTRIA,AUT,AIRE,0,0,2,2,0,4
4,2021,SICILIA,19,BULGARIA,BGR,AIRE,0,0,0,1,0,1
4,2021,SICILIA,19,GERMANIA,DEU,AIRE,0,0,3,5,0,8
4,2021,SICILIA,19,IRLANDA,IRL,AIRE,0,0,1,1,0,2
4,2021,SICILIA,19,MALTA,MLT,AIRE,0,0,0,5,0,5
4,2021,SICILIA,19,PAESI BASSI,NLD,AIRE,0,0,0,1,0,1
4,2021,SICILIA,19,PORTOGALLO,PRT,AIRE,0,0,0,1,0,1
4,2021,SICILIA,19,REGNO UNITO,GBR,AIRE,0,0,1,18,0,19
4,2021,SICILIA,19,ROMANIA,ROU,AIRE,0,0,2,2,0,4
4,2021,SICILIA,19,STATI UNITI D'AMERICA,USA,AIRE,0,0,1,2,0,3
4,2021,SICILIA,19,SVIZZERA,CHE,AIRE,0,0,0,2,0,2
4,2021,SICILIA,19,TUNISIA,TUN,AIRE,0,0,1,1,0,2
4,2021,SICILIA,19,,,Residenti,0,0,2052,3812,0,5864
