MESE,ANNO,PARTENZA,COD ISTAT REGIONE DI PARTENZA,ARRIVO,COD ISTAT REGIONE DI ARRIVO,TOTALE
10,2016,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,7
11,2016,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,20
12,2016,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,28
1,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,21
2,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,20
2,2017,ESTERO,01,ESTERO,01,1
3,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,26
3,2017,ESTERO,01,ESTERO,01,12
3,2017,ESTERO,01,ESTERO,,4
3,2017,LIGURIA,07,LIGURIA,07,23
3,2017,,,ESTERO,,3
4,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,22
4,2017,ESTERO,01,ESTERO,01,5
4,2017,ESTERO,,ESTERO,01,1
4,2017,ESTERO,01,ESTERO,,2
4,2017,ESTERO,01,,,2
4,2017,LIGURIA,07,ESTERO,,1
4,2017,LIGURIA,07,LIGURIA,07,28
4,2017,,,EMILIA ROMAGNA,08,6
4,2017,,,ESTERO,,4
5,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,251
5,2017,ESTERO,01,ESTERO,01,11
5,2017,ESTERO,01,ESTERO,,3
5,2017,ESTERO,01,,,5
5,2017,LIGURIA,07,LIGURIA,07,18
5,2017,LIGURIA,07,,,1
5,2017,LOMBARDIA,03,LOMBARDIA,03,6
5,2017,,,EMILIA ROMAGNA,08,7
5,2017,,,ESTERO,,4
5,2017,,,,,1
6,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,328
6,2017,EMILIA ROMAGNA,08,ESTERO,01,2
6,2017,EMILIA ROMAGNA,08,ESTERO,,5
6,2017,EMILIA ROMAGNA,08,,,2
6,2017,ESTERO,01,ESTERO,01,25
6,2017,ESTERO,,ESTERO,01,2
6,2017,ESTERO,01,ESTERO,,10
6,2017,ESTERO,01,PIEMONTE,01,1
6,2017,ESTERO,01,,,4
6,2017,LIGURIA,07,ESTERO,,1
6,2017,LIGURIA,07,LIGURIA,07,137
6,2017,LIGURIA,07,,,1
6,2017,LOMBARDIA,03,ESTERO,,1
6,2017,LOMBARDIA,03,LOMBARDIA,03,47
6,2017,PIEMONTE,01,PIEMONTE,01,5
6,2017,PIEMONTE,01,,,1
6,2017,,,EMILIA ROMAGNA,08,5
6,2017,,,ESTERO,,18
6,2017,,,LIGURIA,07,1
7,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,320
7,2017,EMILIA ROMAGNA,08,ESTERO,01,1
7,2017,EMILIA ROMAGNA,08,ESTERO,,5
7,2017,EMILIA ROMAGNA,08,,,11
7,2017,ESTERO,01,ESTERO,01,54
7,2017,ESTERO,01,ESTERO,,13
7,2017,ESTERO,,ESTERO,,11
7,2017,ESTERO,,LIGURIA,07,3
7,2017,ESTERO,01,LOMBARDIA,03,1
7,2017,ESTERO,01,,,1
7,2017,ESTERO,,,,3
7,2017,LIGURIA,07,ESTERO,01,1
7,2017,LIGURIA,07,ESTERO,,1
7,2017,LIGURIA,07,LIGURIA,07,92
7,2017,LIGURIA,07,,,2
7,2017,LOMBARDIA,03,ESTERO,,2
7,2017,LOMBARDIA,03,LOMBARDIA,03,54
7,2017,PIEMONTE,01,PIEMONTE,01,4
7,2017,PIEMONTE,01,,,3
7,2017,PUGLIA,16,PUGLIA,16,9
7,2017,TOSCANA,09,TOSCANA,09,6
7,2017,,,EMILIA ROMAGNA,08,4
7,2017,,,ESTERO,,26
8,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,235
8,2017,EMILIA ROMAGNA,08,ESTERO,01,5
8,2017,EMILIA ROMAGNA,08,ESTERO,,12
8,2017,EMILIA ROMAGNA,08,,,13
8,2017,ESTERO,01,ESTERO,01,60
8,2017,ESTERO,,ESTERO,01,4
8,2017,ESTERO,01,ESTERO,,17
8,2017,ESTERO,,ESTERO,,1
8,2017,ESTERO,01,PUGLIA,16,1
8,2017,ESTERO,01,,,9
8,2017,LIGURIA,07,ESTERO,,3
8,2017,LIGURIA,07,LIGURIA,07,93
8,2017,LIGURIA,07,,,4
8,2017,LOMBARDIA,03,ESTERO,,3
8,2017,LOMBARDIA,03,LOMBARDIA,03,49
8,2017,PIEMONTE,01,PIEMONTE,01,4
8,2017,PUGLIA,16,ESTERO,,3
8,2017,PUGLIA,16,PUGLIA,16,31
8,2017,PUGLIA,16,,,2
8,2017,TOSCANA,09,TOSCANA,09,20
8,2017,UMBRIA,10,UMBRIA,10,1
8,2017,,,EMILIA ROMAGNA,08,9
8,2017,,,ESTERO,,69
8,2017,,,,,6
9,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,265
9,2017,EMILIA ROMAGNA,08,ESTERO,,7
9,2017,EMILIA ROMAGNA,08,,,14
9,2017,ESTERO,01,ESTERO,01,71
9,2017,ESTERO,,ESTERO,01,9
9,2017,ESTERO,01,ESTERO,,33
9,2017,ESTERO,,ESTERO,,1
9,2017,ESTERO,01,LIGURIA,07,1
9,2017,ESTERO,01,,,6
9,2017,LIGURIA,07,ESTERO,,2
9,2017,LIGURIA,07,LIGURIA,07,147
9,2017,LIGURIA,07,,,1
9,2017,LOMBARDIA,03,LOMBARDIA,03,61
9,2017,PUGLIA,16,ESTERO,,9
9,2017,PUGLIA,16,PUGLIA,16,24
9,2017,PUGLIA,16,,,7
9,2017,TOSCANA,09,TOSCANA,09,12
9,2017,TRENTINO ALTO ADIGE,04,TRENTINO ALTO ADIGE,04,2
9,2017,UMBRIA,10,ESTERO,01,1
9,2017,UMBRIA,10,ESTERO,,1
9,2017,UMBRIA,10,UMBRIA,10,4
9,2017,VENETO,05,VENETO,05,35
9,2017,,,ESTERO,,67
9,2017,,,PUGLIA,16,3
9,2017,,,VENETO,05,4
9,2017,,,,,12
10,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,280
10,2017,EMILIA ROMAGNA,08,ESTERO,01,1
10,2017,EMILIA ROMAGNA,08,ESTERO,,23
10,2017,EMILIA ROMAGNA,08,,,16
10,2017,ESTERO,01,ESTERO,01,72
10,2017,ESTERO,,ESTERO,01,8
10,2017,ESTERO,01,ESTERO,,59
10,2017,ESTERO,,ESTERO,,3
10,2017,ESTERO,01,LIGURIA,07,1
10,2017,ESTERO,,LIGURIA,07,1
10,2017,ESTERO,01,,,6
10,2017,ESTERO,,,,4
10,2017,LIGURIA,07,ESTERO,01,1
10,2017,LIGURIA,07,ESTERO,,6
10,2017,LIGURIA,07,LIGURIA,07,196
10,2017,LIGURIA,07,,,14
10,2017,LOMBARDIA,03,ESTERO,,1
10,2017,LOMBARDIA,03,LOMBARDIA,03,196
10,2017,LOMBARDIA,03,,,1
10,2017,PIEMONTE,01,PIEMONTE,01,5
10,2017,PUGLIA,16,ESTERO,01,1
10,2017,PUGLIA,16,ESTERO,,10
10,2017,PUGLIA,16,PUGLIA,16,102
10,2017,TOSCANA,09,TOSCANA,09,17
10,2017,TOSCANA,09,,,1
10,2017,TRENTINO ALTO ADIGE,04,ESTERO,,1
10,2017,TRENTINO ALTO ADIGE,04,TRENTINO ALTO ADIGE,04,15
